kontl,kontol
cigak,kera
cigax,kera
sarap,tidak waras
licew,cupu
sorga,surga
biasay,biasanya
Aseng,asing
homok,homo
IHLAs,ikhlas
PENDIKAN,pendidikan
GLA,gila
mayorita,mayoritas
lowo,kelelawar
mahluq,makhluk
ngomonv,bicaranya
padhl, padahal
kudet, kudeta
embacot, membacot
dprd, daripada
27-Jun,dua puluh tujuh juni
01curang,01 curang
01thechampion,01 the champion
02wintheelection,02 win the election
½ramayana,ramayana
10000hours,10000 hours
&,dan
10harilagigantipresiden,10 hari lagi ganti presiden
10harilagilebaranakalsehat,10 hari lagi lebaran akal sehat
10harimenujumenang,10 hari menuju menang
10jt,sepuluh juta
10k,10000
10k,sepuluh ribu
10kk,sepuluh juta
10rb,sepuluh ribu
10th,sepuluh tahun
120k,seratus dua puluh ribu
130thipuanniversary,130th ipu anniversary
13rb,tiga belas ribu
145k,seratus empat puluh lima ribu
149rb,seratus empat puluh sembilan ribu
14rb,empat belas ribu
15jt,lima belas juta
16daysagainstviolenceagainstwomen,16 days againts violence againts women
16gb,enam belas giga byte
16jam,enam belas jam
16th,enam belas tahun
17an,tujuh belasan
17aprilprabowopresiden,17 april prabowo presiden
1jt,satu juta
1kg,satu kilogram
1periode,satu periode
1st,pertama
1t,satu triliun
2009vs2019,2009 versus 2019
200an,dua ratusan
200rbu,dua ratus ribu
2018gantigubernur,2018 ganti gubernur
2019asalbukanjokowi,2019 asal bukan jokowi
2019changepresident,2019 change president
2019changepresidents,2020 change president
2019forjkw,2019 for jokowi
2019g,2019 ganti presiden
2019ga,2019 ganti presiden
2019gaadaun,2019 tidak ada ujian nasional
2019ganti,2019 ganti presiden
2019gantikacung,2019 ganti kacung
2019gantip,2019 ganti presiden
2019gantipesinden,2019 ganti presiden
2019gantipre,2019 ganti presiden
2019gantipres,2019 ganti presiden
2019gantipresid,2019 ganti presiden
2019gantipreside,2019 ganti presiden
2019gantipresiden,2019 ganti presiden
2019gantipresidenbaru,2019 ganti presiden baru
2019gantipresidenkacung,2019 ganti presiden kacung
2019gantirezim,2019 ganti rezim
2019gantisistem,2019 ganti sistem
2019gantitelor,2019 ganti telor
2019jokowiend,2019 jokowi selesai
2019jokowilagi,2019 jokowi lagi
2019jokowilanjutkan,2019 jokowi lanjutkan
2019jokowilengser,2019 jokowi lengser
2019kitatetapjokowi,2019 kita tetap jokowi
2019lanjutjokowi,2019 lanjut jokowi
2019newpresident,2019 new president
2019pilihjokowi,2019 pilih jokowi
2019pilihpks,2019 pilih partai keadilan sejahtera
2019prabowoanismatta,2019 prabowo anis matta
2019prabowopresiden,2019 prabowo presiden
2019prabowopresidenri,2019 prabowo presiden republik indonesia
2019prabowopresident08,2019 prabowo presiden
2019prabowori1,2019 prabowo satu
2019prabowosandi,2019 prabowo sandi
2019prabowosandimenang,2019 prabowo sandi menang
2019presidenbaru,2019 presiden baru
2019t3tapjokowi,2019 tetap jokowi
2019tenggelamkanjokowikesungaisiak,2019 tenggelamkan jokowi ke sungai siak
2019tetapjokow,2019 tetap jokowi
2019tetapjokowi,2019 tetap jokowi
2019tetapjokowiganti,2019 tetap jokowi ganti
2019tetapjokowiyangdiganti,2019 tetap jokowi yang diganti
2019theworstelectionina,2019 the worst election indonesia
20menit,dua puluh menit
20rb,dua puluh ribu
20tahun,dua puluh tahun
20tahunpks,20 tahun pks
212tunggangimaulidnabi,212 tunggangi maulid nabi
22meiprabowopresiden,22 mei prabowo presiden
22nya,dua duanya
24rb,dua puluh empat ribu
250juta,dua ratus lima puluh juta
260jt,dua ratus enam puluh juta
27m,dua puluh tujuh meter
298m,dua ratus sembilan puluh delapan meter
2jtnya,dua jutanya
2oeharto,soeharto
2periode,dua periode
2tahunkasusnoveljkwgagal,2 tahun kasus novel jokowi gagal
2th,dua tahun
2thn,dua tahun
2untukjabar,dua untuk jawa barat
2untukjatim,dua untuk jawa timur
2x,dua kali
300an,tiga ratusan
30an,tiga puluhan
30m,tiga puluh meter
30rb,tiga puluh ribu
30s,tiga puluh detik
35ribu,tiga puluh lima ribu
35t,tiga puluh lima triliun
3jari,tiga jari
3lauk10ribu,tiga lauk sepuluh ribu
3some,threesome
3tahun,tiga tahun
3x,tiga kali
400km,empat ratus kilometer
400t,empat ratus triliun
40an,empat puluhan
